subject,method,band,var,mean,var_demean
003,avmd,ULF,0.0016916435622470994,-1.1348946473946044e-16,0.0016916435622470994
003,avmd,VLF,0.0005399422891999642,-1.4648776019359704e-18,0.0005399422891999642
003,avmd,LF,0.0003434246294693685,-2.235865813481218e-19,0.0003434246294693685
003,avmd,HF,0.00013646390604035903,-1.2528558437610272e-19,0.00013646390604035903
003,avmd,ULF,0.0016916435622470994,-1.1348946473946044e-16,0.0016916435622470994
003,avmd,VLF,0.0005399422891999642,-1.4648776019359704e-18,0.0005399422891999642
003,avmd,LF,0.0003434246294693685,-2.235865813481218e-19,0.0003434246294693685
003,avmd,HF,0.00013646390604035903,-1.2528558437610272e-19,0.00013646390604035903
002,avmd,ULF,0.0,0.0,0.0
002,avmd,VLF,0.0026475710518534807,-4.8356380628117926e-17,0.0026475710518534807
002,avmd,LF,0.0007685965973217949,-7.401486830834377e-19,0.0007685965973217949
002,avmd,HF,0.00042773617410444463,-1.61907524424502e-19,0.00042773617410444463
000,avmd,ULF,0.0016687348391850544,1.1843075404492376e-05,0.0016687348391850544
000,avmd,VLF,0.0004554844154495755,3.307840302255189e-07,0.0004554844154495755
000,avmd,LF,0.00034739030390660197,7.235578784675743e-08,0.00034739030390660197
000,avmd,HF,0.00032917986043646527,1.2637115892096316e-08,0.00032917986043646527
005,avmd,ULF,0.006280241723939124,-3.438356571237896e-05,0.006280241723939124
005,avmd,VLF,0.0004046647886535152,-1.2187680155640215e-07,0.0004046647886535152
005,avmd,LF,0.0005748150675724525,-2.741925464617231e-08,0.0005748150675724525
005,avmd,HF,0.0001968463667099311,-6.333766314428854e-09,0.0001968463667099311
006,avmd,ULF,0.00198546624909889,-1.0460768054245919e-16,0.00198546624909889
006,avmd,VLF,0.0,0.0,0.0
006,avmd,LF,0.001883936775679628,-2.1587669923266933e-18,0.001883936775679628
006,avmd,HF,0.00017199528715052426,-1.0601087908747154e-19,0.00017199528715052426
007,avmd,ULF,0.006660625049075188,3.157967714489334e-17,0.006660625049075188
007,avmd,VLF,0.00018963440436638507,-9.251858538542972e-20,0.00018963440436638507
007,avmd,LF,0.00039895845184538645,9.637352644315595e-21,0.00039895845184538645
007,avmd,HF,5.686618379640101e-05,-1.5660698047012841e-21,5.686618379640101e-05
008,avmd,ULF,0.00833668585492723,-2.5987531984171955e-05,0.00833668585492723
008,avmd,VLF,0.0005530618711843437,-3.587213890876388e-08,0.0005530618711843437
008,avmd,LF,0.0010881270081835475,-1.3756041581672789e-08,0.0010881270081835475
008,avmd,HF,0.0002906861790417802,-3.2289954638429727e-09,0.0002906861790417802
009,avmd,ULF,0.0,0.0,0.0
009,avmd,VLF,0.0018162916897022756,3.20731096002823e-17,0.0018162916897022756
009,avmd,LF,0.0004007678737582326,5.782411586589357e-19,0.0004007678737582326
009,avmd,HF,0.00011044388927285312,5.300543954373577e-20,0.00011044388927285312
